,PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated,FullTextLink,Funder,NumberOfAuthors,ExternalCooperation,FridaLevel,PartOfThesis,PublicationSubtype,Conference,Term,ArticleId,Reviewed,FreeFulltext,SustainableDevelopment,Contributor,Institute,Numbers
4940,1594229,"Gaur, Kuntal (Department of Computer Applications, Manipal University Jaipur, India);Kalla, Anshuman (Centre for Wireless Communications, University of Oulu, Finland);Grover, Jyoti (Department of Computer Science and Engineering, Malaviya National Institute of Technology Jaipur, India);Borhani, Mohammad [mohbo63] [0000-0002-3570-3297] (Linköpings universitet [276], Institutionen för datavetenskap [281], Databas och informationsteknik [11105]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Air and Ground Information Security Group);Gurtov, Andrei [andgu38] [0000-0002-9829-9287] (Linköpings universitet [276], Institutionen för datavetenskap [281], Databas och informationsteknik [11105]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Liyanage, Madhusanka (Centre for Wireless Communications, University of Oulu, Finland; School of Computer Science, University College Dublin, Ireland)","A Survey of Virtual Private LAN Services (VPLS) : Past, Present and Future",Artikel i tidskrift,Refereegranskat,eng,Computer Networks,1389-1286,1872-7069,published,196,,,,,2021,,,,ELSEVIER,,,,,,,10.1016/j.comnet.2021.108245,7.00E+11,,,urn:nbn:se:liu:diva-179253,,,['hipls'],Kommunikationssystem (20203),,,<p>Funding: Academy of Finland under the 6Genesis project [318927]; Center For Industrial Information Technology (CENIIT) [17.01]</p>,"<p>Virtual Private LAN services (VPLS) is a Layer 2 Virtual Private Network (L2VPN) service that has gained immense popularity due to a number of its features, such as protocol independence, multipoint-to-multipoint mesh connectivity, robust security, low operational cost (in terms of optimal resource utilization), and high scalability. In addition to the traditional VPLS architectures, novel VPLS solutions have been designed leveraging new emerging paradigms, such as Software Defined Networking (SDN) and Network Function Virtualization (NFV), to keep up with the increasing demand. These emerging solutions help in enhancing scalability, strengthening security, and optimizing resource utilization. This paper aims to conduct an in-depth survey of various VPLS architectures and highlight different characteristics through insightful comparisons. Moreover, the article discusses numerous technical aspects such as security, scalability, compatibility, tunnel management, operational issues, and complexity, along with the lessons learned. Finally, the paper outlines future research directions related to VPLS. To the best of our knowledge, this paper is the first to furnish a detailed survey of VPLS.</p>",,,,,,,,,,,,,9/15/2021,9/15/2021,11/30/2022,,,6.0,,deprecated,,,,,108245,True,,,,"Department of Computer Applications, Manipal University Jaipur, India, Centre for Wireless Communications, University of Oulu, Finland, Department of Computer Science and Engineering, Malaviya National Institute of Technology Jaipur, India, Linköpings universitet [276], Institutionen för datavetenskap [281], Databas och informationsteknik [11105], Linköpings universitet [276], Tekniska fakulteten [872902], Air and Ground Information Security Group, Linköpings universitet [276], Institutionen för datavetenskap [281], Databas och informationsteknik [11105], Linköpings universitet [276], Tekniska fakulteten [872902], Centre for Wireless Communications, University of Oulu, Finland; School of Computer Science, University College Dublin, Ireland","['276', '281', '11105', '276', '872902', '276', '281', '11105', '276', '872902']"
4941,1549258,"Avgouleas, Ioannis [ioaav51] (Linköpings universitet [276], Institutionen för datavetenskap [281], Databas och informationsteknik [11105]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Pappas, Nikolaos [nikpa02] [0000-0003-4416-7702] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Kommunikations- och transportsystem [2345]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Angelakis, Vangelis [vanan11] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Kommunikations- och transportsystem [2345]) (Linköpings universitet [276], Tekniska fakulteten [872902])",A wireless caching helper system with heterogeneous traffic and random availability,Artikel i tidskrift,Refereegranskat,eng,EURASIP Journal on Wireless Communications and Networking,1687-1472,1687-1499,published,2021,1,,,,2021,,,,Springer,,,,,,,10.1186/s13638-021-01935-1,6.36E+11,,,urn:nbn:se:liu:diva-175449,,,"['wireless communication', 'wireless caching', 'throughput', 'cacheable traffic', 'queueing analysis', 'mutiple caching helpers', 'non-cacheable traffic']",Kommunikationssystem (20203),,,<p>Funding Agencies|Linkoping University; CENIIT; ELLIIT</p>,"<p>Multimedia content streaming from Internet-based sources emerges as one of the most demanded services by wireless users. In order to alleviate excessive traffic due to multimedia content transmission, many architectures (e.g., small cells, femtocells, etc.) have been proposed to offload such traffic to the nearest (or strongest) access point also called ""helper"". However, the deployment of more helpers is not necessarily beneficial due to their potential of increasing interference. In this work, we evaluate a wireless system which can serve both cacheable and non-cacheable traffic. More specifically, we consider a general system in which a wireless user with limited cache storage requests cacheable content from a data center that can be directly accessed through a base station. The user can be assisted by a pair of wireless helpers that exchange non-cacheable content as well. Files not available from the helpers are transmitted by the base station. We analyze the system throughput and the delay experienced by the cached user and show how these performance metrics are affected by the packet arrival rate at the source helper, the availability of caching helpers, the caches parameters, and the users request rate by means of numerical results.</p>",,,,,,,,,,,,,5/5/2021,5/5/2021,5/26/2021,https://liu.diva-portal.org/smash/get/diva2:1549258/FULLTEXT01.pdf,,3.0,,deprecated,,,,,69,True,,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Databas och informationsteknik [11105], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Kommunikations- och transportsystem [2345], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Kommunikations- och transportsystem [2345], Linköpings universitet [276], Tekniska fakulteten [872902]","['276', '281', '11105', '276', '872902', '276', '296', '2345', '276', '872902', '276', '296', '2345', '276', '872902']"
4942,1642862,"Thunberg, Sofia [softh24] [0000-0002-7556-5079] (Linköpings universitet [276], Institutionen för datavetenskap [281], Interaktiva och kognitiva system [11107]) (Linköpings universitet [276], Filosofiska fakulteten [1750]);Angström, Fredrik [n/a] (Linköpings universitet [276], Institutionen för datavetenskap [281]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Carsting, Tim [n/a] (Linköpings universitet [276], Institutionen för datavetenskap [281]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Faber, Petra [n/a] (Linköpings universitet [276], Institutionen för datavetenskap [281]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Gummesson, Jens [n/a] (Linköpings universitet [276], Institutionen för datavetenskap [281]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Henne, Alexander [n/a] (Linköpings universitet [276], Institutionen för datavetenskap [281]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Mastell, Daniel [n/a] (Linköpings universitet [276], Institutionen för datavetenskap [281]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Mjörnman, Jesper [n/a] (Linköpings universitet [276], Institutionen för datavetenskap [281]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Tell, Joel [n/a] (Linköpings universitet [276], Institutionen för datavetenskap [281]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Ziemke, Tom [tomzi64] [0000-0001-6883-2450] (Linköpings universitet [276], Institutionen för datavetenskap [281], Interaktiva och kognitiva system [11107]) (Linköpings universitet [276], Tekniska fakulteten [872902])",A Wizard of Oz Approach to Robotic Therapy for Older Adults With Depressive Symptoms,Konferensbidrag,Övrigt vetenskapligt,eng,,,,,,,HRI '21 Companion: Companion of the 2021 ACM/IEEE International Conference on Human-Robot Interaction,294,297,2021,,,,Association for Computing Machinery (ACM),,,,978-1-4503-8290-8,,,10.1145/3434074.3447179,,,,urn:nbn:se:liu:diva-183464,,,"['therapy', 'depression', 'furhat']",Människa-datorinteraktion (interaktionsdesign) (10204),,,,"<p>Older adults with late-life depression often suffer from cognitive symptoms, such as dementia. This patient group is not prioritised for psychotherapy and therefore often medicated with antidepressants. However, in the last 20-years, the evidence base for psychotherapy has increased and one promising area is technology-based psychotherapy. Investigations of the possibilities in this area are also motivated by the Covid-19 pandemic, where many older adults are isolated, which makes it impossible for them to meet with a therapist. Therefore, we have developed a Wizard of Oz system allowing a human therapist to control a humanoid robot through a graphical user interface, including natural speech for natural conversations, which enables the robot to be stationed in, for example, a care home. For future research, we will conduct user-centered studies with both therapists and older adults to further develop the system.</p>",,,,,,,,,,,,,3/8/2022,3/8/2022,9/1/2023,,,10.0,,deprecated,,poster,"HRI '21: ACM/IEEE International Conference on Human-Robot Interaction Boulder CO USA March 8 - 11, 2021",,,True,,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Interaktiva och kognitiva system [11107], Linköpings universitet [276], Filosofiska fakulteten [1750], Linköpings universitet [276], Institutionen för datavetenskap [281], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Interaktiva och kognitiva system [11107], Linköpings universitet [276], Tekniska fakulteten [872902]","['276', '281', '11107', '276', '1750', '276', '281', '276', '872902', '276', '281', '276', '872902', '276', '281', '276', '872902', '276', '281', '276', '872902', '276', '281', '276', '872902', '276', '281', '276', '872902', '276', '281', '276', '872902', '276', '281', '276', '872902', '276', '281', '11107', '276', '872902']"
4943,1650691,"Thunberg, Sofia [softh24] (Linköpings universitet [276], Institutionen för datavetenskap [281], Interaktiva och kognitiva system [11107]) (Linköpings universitet [276], Filosofiska fakulteten [1750]);Angström, Fredrik [n/a] (Linköpings universitet [276], Institutionen för datavetenskap [281]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Carsting, Tim [n/a] (Linköpings universitet [276], Institutionen för datavetenskap [281]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Faber, Petra [n/a] (Linköpings universitet [276], Institutionen för datavetenskap [281]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Gummesson, Jens [n/a] (Linköpings universitet [276], Institutionen för datavetenskap [281]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Henne, Alexander [n/a] (Linköpings universitet [276], Institutionen för datavetenskap [281]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Mastell, Daniel [n/a] (Linköpings universitet [276], Institutionen för datavetenskap [281]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Mjörnman, Jesper [n/a] (Linköpings universitet [276], Institutionen för datavetenskap [281]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Tell, Joel [n/a] (Linköpings universitet [276], Institutionen för datavetenskap [281]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Ziemke, Tom [tomzi64] [0000-0001-6883-2450] (Linköpings universitet [276], Institutionen för datavetenskap [281], Interaktiva och kognitiva system [11107]) (Linköpings universitet [276], Tekniska fakulteten [872902])",A Wizard of Oz Approach to Robotic Therapy for Older Adults With Depressive Symptoms,Konferensbidrag,Refereegranskat,eng,,,,,,,HRI 21: COMPANION OF THE 2021 ACM/IEEE INTERNATIONAL CONFERENCE ON HUMAN-ROBOT INTERACTION,294,297,2021,,,,ASSOC COMPUTING MACHINERY,ACM IEEE International Conference on Human-Robot Interaction,2167-2121,,9.78E+12,,,10.1145/3434074.3447179,7.68E+11,,,urn:nbn:se:liu:diva-184084,,,"['therapy', 'depression', 'furhat']",Människa-datorinteraktion (interaktionsdesign) (10204),,,,"<p>Older adults with late-life depression often suffer from cognitive symptoms, such as dementia. This patient group is not prioritised for psychotherapy and therefore often medicated with antidepressants. However, in the last 20-years, the evidence base for psychotherapy has increased and one promising area is technology-based psychotherapy. Investigations of the possibilities in this area are also motivated by the Covid-19 pandemic, where many older adults are isolated, which makes it impossible for them to meet with a therapist. Therefore, we have developed a Wizard of Oz system allowing a human therapist to control a humanoid robot through a graphical user interface, including natural speech for natural conversations, which enables the robot to be stationed in, for example, a care home. For future research, we will conduct user-centered studies with both therapists and older adults to further develop the system.</p>",,,,,,,,,,,,,4/8/2022,4/8/2022,9/1/2023,,,10.0,,deprecated,,publishedPaper,"ACM/IEEE International Conference on Human-Robot Interaction (HRI), ELECTR NETWORK, aug 08-11, 2021",,,False,,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Interaktiva och kognitiva system [11107], Linköpings universitet [276], Filosofiska fakulteten [1750], Linköpings universitet [276], Institutionen för datavetenskap [281], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Interaktiva och kognitiva system [11107], Linköpings universitet [276], Tekniska fakulteten [872902]","['276', '281', '11107', '276', '1750', '276', '281', '276', '872902', '276', '281', '276', '872902', '276', '281', '276', '872902', '276', '281', '276', '872902', '276', '281', '276', '872902', '276', '281', '276', '872902', '276', '281', '276', '872902', '276', '281', '276', '872902', '276', '281', '11107', '276', '872902']"
4944,1562026,"Saar de Moraes, Rodrigo [rodsa37] (Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Nadjm-Tehrani, Simin [simna73] [0000-0002-1485-0802] (Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108]) (Linköpings universitet [276], Tekniska fakulteten [872902])",Abstraction models for verifying resource adequacy of IMA systems at concept level,Artikel i tidskrift,Refereegranskat,eng,Science of Computer Programming,0167-6423,1872-7964,published,208,,,,,2021,,,,Elsevier,,,,,,,10.1016/j.scico.2021.102654,6.53E+11,,,urn:nbn:se:liu:diva-176135,,,"['conceptual analysis', 'ima system', 'network resource adequacy']",Datavetenskap (datalogi) (10201),,,"<p>Funding Agencies|Swedish Governmental Agency for Innovation SystemsVinnova, as part of the national projects on aeronautics, NFFP7, project CLASSICS [NFFP7 201704890]</p>","<p>Complex cyber-physical systems can be difficult to analyze for resource adequacy (e.g., bandwidth and buffer size) at the concept development stage since relevant models are hard to create. During this period, details about the functions to be executed or the platforms in the architecture are partially unknown. This is especially true for Integrated Modular Avionics (IMA) systems, for which life-cycles span over several decades, with potential changes to functionality in the future. This work aims to identify abstractions for representing data exchanges among functions realized in networked IMA systems and investigates how these can be represented in formal models and analyzed with exact guarantees. Timed automata (TA) are a relevant choice for modeling since communication resource adequacy is directly related to potential network delays. We explore two alternatives in modeling with TA, a direct one representing every process using a TA template, and a more abstract one representing every computation device with a TA template. While the first approach represents process-to-process data exchanges, the modified approach reduces the state space by representing all processes currently allocated to a single computing element to obtain scalability gains. Both approaches are flexible since the templates presented can be instantiated to represent different types of network topologies and communication patterns. The instantiated TA models are used to illustrate an use case and analyzed with the UPPAAL model checker to verify that a given platform instance supports the desired system functions in terms of network bandwidth and buffer size adequacy, thereby messages reaching their final destination with freshness guarantees. Both abstraction levels are shown to be suitable for verifying the intended properties, but the more abstract one demonstrates a 67% improvement in verification time and a 66% reduction in state space during verification. The more abstract approach is also applied to a real-world example from an earlier publication, with a much larger state space and a more complex structure, to illustrate the ability to reuse the approach in multiple use cases. (C) 2021 The Authors. Published by Elsevier B.V.</p>",,,,,,,,,,,,,6/8/2021,6/8/2021,8/11/2021,https://liu.diva-portal.org/smash/get/diva2:1562026/FULLTEXT01.pdf,,2.0,,deprecated,,,,,102654,False,,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108], Linköpings universitet [276], Tekniska fakulteten [872902]","['276', '281', '11108', '276', '872902', '276', '281', '11108', '276', '872902']"
4945,1545895,"Jonsson, Peter [petjo00] [0000-0002-5288-3330] (Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (TCSLAB);Lagerkvist, Victor [vicla67] (Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (TCSLAB);Osipov, George [geoos58] [0000-0002-2884-9837] (Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (TCSLAB)","Acyclic orders, partition schemes and CSPs : Unified hardness proofs and improved algorithms",Artikel i tidskrift,Refereegranskat,eng,Artificial Intelligence,0004-3702,1872-7921,published,296,,,,,2021,,,,Elsevier,,,,,,,10.1016/j.artint.2021.103505,6.49E+11,,,urn:nbn:se:liu:diva-175145,,,"['infinite domains', 'partition schemes']",Datavetenskap (datalogi) (10201),,,"<p>Funding: Wallenberg AI, Autonomous Systems and Software Program (WASP) - Knut and Alice Wallenberg Foundation; Swedish Research Council (VR)Swedish Research Council [2017-04112]; VRSwedish Research Council [2019-03690]</p>","<p>Many computational problems arising in, for instance, artificial intelligence can be realized as infinite-domain constraint satisfaction problems (CSPs) based on partition schemes: a set of pairwise disjoint binary relations (containing the equality relation) whose union spans the underlying domain and which is closed under converse. We first consider partition schemes that contain an acyclic order and where the constraint language contains all unions of the basic relations; such CSPs are frequently occurring in e.g. temporal and spatial reasoning. We identify properties of such orders which, when combined, are sufficient to establish NP-hardness of the CSP and strong lower bounds under the exponential-time hypothesis, even for degree-bounded problems. This result explains, in a uniform way, many existing hardness results from the literature, and shows that it is impossible to obtain subexponential time algorithms unless the exponential-time hypothesis fails. However, some of these problems (including several important temporal problems), despite likely not being solvable in subexponential time, admit non-trivial improved exponential-time algorithm, and we present a novel improved algorithm for RCC-8 and related formalisms.</p>",,,,,,,,,,,,,4/20/2021,4/20/2021,6/1/2021,https://liu.diva-portal.org/smash/get/diva2:1545895/FULLTEXT01.pdf,,3.0,,deprecated,,,,,103505,True,,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108], Linköpings universitet [276], Tekniska fakulteten [872902], TCSLAB, Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108], Linköpings universitet [276], Tekniska fakulteten [872902], TCSLAB, Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108], Linköpings universitet [276], Tekniska fakulteten [872902], TCSLAB","['276', '281', '11108', '276', '872902', '276', '281', '11108', '276', '872902', '276', '281', '11108', '276', '872902']"
4949,1604352,"Li, Ying [yinli71] (Linköpings universitet [276], Tekniska fakulteten [872902]) (Linköpings universitet [276], Institutionen för datavetenskap [281], Databas och informationsteknik [11105]);Lambrix, Patrick [patla00] [0000-0002-9084-0470] (Linköpings universitet [276], Institutionen för datavetenskap [281], Databas och informationsteknik [11105]) (Linköpings universitet [276], Tekniska högskolan [1751]) (Högskolan i Gävle) (IDA/ADIT)",An approach for repairing incoherent ontologies,Konferensbidrag,Refereegranskat,eng,,,,,,,"Proceedings of the ISWC 2021 Posters, Demos and Industry Tracks: From Novel Ideas to Industrial Practice : co-located with 20th International Semantic Web Conference (ISWC 2021)",,,2021,,,"Aachen, Germany",CEUR Workshop proceedings,CEUR Workshop proceedings ; 2980,1613-0073,,,http://ceur-ws.org/Vol-2980/paper372.pdf,,,,,,urn:nbn:se:liu:diva-180425,,,['ontology repair'],Datavetenskap (datalogi) (10201),,,,<p>The quality of ontologies and their alignments is crucial fordeveloping high-quality ontology-based applications. In this paper wepropose an approach for repairing incoherent ontologies and ontologynetworks that is based on axiom weakening and completion.</p>,,,,,,,,,,,,,10/19/2021,10/19/2021,10/19/2021,,Vetenskapsrådet [2018-04147];Swedish e?Science Research Center;Tillväxtverket,2.0,,deprecated,,publishedPaper,International Semantic Web Conference,,,False,True,,,"Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Databas och informationsteknik [11105], Linköpings universitet [276], Institutionen för datavetenskap [281], Databas och informationsteknik [11105], Linköpings universitet [276], Tekniska högskolan [1751], Högskolan i Gävle, IDA/ADIT","['276', '872902', '276', '281', '11105', '276', '281', '11105', '276', '1751']"
4951,1626979,"Basirat, Ali [aliba43] (Linköpings universitet [276], Institutionen för datavetenskap [281], Artificiell intelligens och integrerade datorsystem [11106]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Uppsala Univ, Sweden);Allassonniere-Tang, Marc (Univ Lyon, France);Berdicevskis, Aleksandrs (Univ Gothenburg, Sweden)",An empirical study on the contribution of formal and semantic features to the grammatical gender of nouns,Artikel i tidskrift,Refereegranskat,eng,Linguistics Vanguard,,2199-174X,published,7,1,,,,2021,,,,WALTER DE GRUYTER GMBH,,,,,,,10.1515/lingvan-2020-0048,7.33E+11,,,urn:nbn:se:liu:diva-182245,,,"['formal features', 'word embeddings']",Språkteknologi (språkvetenskaplig databehandling) (10208),,,<p>Funding Agencies|IDEXLYON Fellowship Grant [16-IDEX-0005]; University of Lyon Grant NSCO ED 476 [ANR-10-LABX-0081]; French National Research AgencyFrench National Research Agency (ANR) [ANR-11-IDEX-0007]</p>,"<p>This study conducts an experimental evaluation of two hypotheses about the contributions of formal and semantic features to the grammatical gender assignment of nouns. One of the hypotheses (Corbett and Fraser 2000) claims that semantic features dominate formal ones. The other hypothesis, formulated within the optimal gender assignment theory (Rice 2006), states that form and semantics contribute equally. Both hypotheses claim that the combination of formal and semantic features yields the most accurate gender identification. In this paper, we operationalize and test these hypotheses by trying to predict grammatical gender using only character-based embeddings (that capture only formal features), only context-based embeddings (that capture only semantic features) and the combination of both. We performed the experiment using data from three languages with different gender systems (French, German and Russian). Formal features are a significantly better predictor of gender than semantic ones, and the difference in prediction accuracy is very large. Overall, formal features are also significantly better than the combination of form and semantics, but the difference is very small and the results for this comparison are not entirely consistent across languages.</p>",,,,,,,,,,,,,1/12/2022,1/12/2022,1/12/2022,,,3.0,,deprecated,,,,,20200048,False,,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Artificiell intelligens och integrerade datorsystem [11106], Linköpings universitet [276], Tekniska fakulteten [872902], Uppsala Univ, Sweden, Univ Lyon, France, Univ Gothenburg, Sweden","['276', '281', '11106', '276', '872902']"
4952,1557546,"Mengist, Alachew [alame60] (Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Buffoni, Lena [olero90] (Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Pop, Adrian [adrpo33] (Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108]) (Linköpings universitet [276], Tekniska fakulteten [872902])",An Integrated Framework for Traceability and Impact Analysis in Requirements Verification of Cyber-Physical Systems,Artikel i tidskrift,Refereegranskat,eng,Electronics,,2079-9292,published,10,8,,,,2021,,,,MDPI,,,,,,,10.3390/electronics10080983,6.44E+11,,,urn:nbn:se:liu:diva-175865,,,"['impact analysis', 'requirements verification', 'oslc', 'requirements tracing', 'model evolution']",Signalbehandling (20205),,,<p>Funding Agencies|Swedish Government; European Union in the H2020 INTO-CPS project; Vinnova in the ITEA OPENCPSVinnova; EMBRACE project; Open Source Modelica Consortium</p>,"<p>In the field of model-based design of Cyber-Physical Systems (CPS), seamless traceability of the process, from requirements to models to simulation results, is becoming increasingly important. It can be used to support several activities such as variant handling, impact analysis, component reuse, software maintenance and evolution, verification, and validation. Despite the fact that the relevance of traceability in the model-based design of CPSs is well known, current tools that support traceability management are inadequate in practice. The lack of comprehensive whole-lifecycle systems engineering support in a single tool is one of the main causes of such ineffective traceability management, where traceability relationships between artifacts are still manually generated and maintained. This paper aims at presenting an approach and a prototype for automatically generating and maintaining the appropriate traceability links between heterogeneous artifacts ranging from requirement models, through design models, down to simulation and verification results throughout the product life cycle in model-based design of CPSs. A use case study is presented to validate and illustrate the proposed method and prototype.</p>",,,,,,,,,,,,,5/26/2021,5/26/2021,6/21/2021,https://liu.diva-portal.org/smash/get/diva2:1557546/FULLTEXT01.pdf,,3.0,,deprecated,,,,,983,False,,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108], Linköpings universitet [276], Tekniska fakulteten [872902]","['276', '281', '11108', '276', '872902', '276', '281', '11108', '276', '872902', '276', '281', '11108', '276', '872902']"
4955,1639487,"Kloo, Mattias [matkl38] (Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700]) (Linköpings universitet [276], Utbildningsvetenskap [1810]);Thornberg, Robert [robth79] [0000-0001-9233-3862] (Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700]) (Linköpings universitet [276], Utbildningsvetenskap [1810]);Wänström, Linda [linwa84] [0000-0002-6590-3847] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700]) (Linköpings universitet [276], Utbildningsvetenskap [1810])","Associations between authoritative teaching, and forms of bullying victimization within classrooms",Konferensbidrag,Övrigt vetenskapligt,eng,,,,,,,,,,2021,,,,,,,,,,,,,,,urn:nbn:se:liu:diva-183097,,,['authoritative teacher'],Pedagogik (50301),,,,,,,,,,,,,,,,,2/21/2022,2/21/2022,6/2/2023,,,3.0,,deprecated,,poster,"The 3rd World Anti-Bullying Forum, Stockholm, November 1–3, 2021",,,True,,,,"Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700], Linköpings universitet [276], Utbildningsvetenskap [1810], Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700], Linköpings universitet [276], Utbildningsvetenskap [1810], Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Filosofiska fakulteten [1750], Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700], Linköpings universitet [276], Utbildningsvetenskap [1810]","['276', '316', '10700', '276', '1810', '276', '316', '10700', '276', '1810', '276', '281', '878151', '276', '1750', '276', '316', '10700', '276', '1810']"
